N,seed,kclusters,nprobe,ivfpq_M,nbits,recall,qps,time_per_query
50,42,5000,50,8,8,0.23826252723311547,149.709937,0.006679583333202525
50,42,5000,50,16,8,0.2562149859943978,163.014685,0.006134416663136822
50,42,5000,100,8,8,0.2245152505446623,58.119824,0.017205833245468878
50,42,5000,100,16,8,0.268380407718643,19.03354,0.05253883407920965
50,42,5000,250,8,8,0.2878921568627451,19.764408,0.05059600064924788
50,42,5000,250,16,8,0.3195483193277311,9.092583,0.1099797494287377
50,42,5000,500,8,8,0.2365958605664488,8.508381,0.11753117308686577
50,42,5000,500,16,8,0.2934967320261438,8.632802,0.11583724496403369
50,42,5000,1500,8,8,0.24982609710550885,36.852434,0.02713524973682878
50,42,5000,1500,16,8,0.2637640056022409,23.145425,0.04320508264592247
