N,seed,k,L,w,recall,qps,time_per_query
1,42,2,10,120,0.16666666666666666,1.301264,0.7684835667474087
1,42,2,10,300,0.16666666666666666,1.203522,0.8308946575135311
1,42,2,10,500,0.16666666666666666,1.179292,0.8479664069628218
1,42,2,10,1000,0.16666666666666666,1.651324,0.6055746782581735
1,42,2,15,20,0.16666666666666666,0.805367,1.2416699467447758
1,42,2,15,40,0.16666666666666666,0.893272,1.1194798448848728
1,42,2,15,80,0.16666666666666666,1.478072,0.6765570283450333
1,42,2,15,120,0.16666666666666666,1.790049,0.5586439253897519
1,42,2,15,300,0.16666666666666666,1.550366,0.6450089849751608
1,42,2,15,500,0.16666666666666666,1.145039,0.8733326987115724
1,42,2,15,1000,0.16666666666666666,1.37521,0.7271616698540586
1,42,4,5,20,0.16666666666666666,1.456924,0.686377601027919
1,42,4,5,40,0.16666666666666666,1.49365,0.6695008870886754
1,42,4,5,80,0.16666666666666666,1.53816,0.6501274249752952
1,42,4,5,120,0.16666666666666666,0.867161,1.1531883929281876
1,42,4,5,300,0.16666666666666666,1.484229,0.6737504792050283
1,42,4,5,500,0.16666666666666666,2.353632,0.424875256624655
1,42,4,5,1000,0.16666666666666666,2.131324,0.4691919201397816
1,42,4,10,20,0.16666666666666666,1.670841,0.5985009944094022
1,42,4,10,40,0.16666666666666666,1.700048,0.588218685590054
1,42,4,10,80,0.16666666666666666,2.206428,0.4532212245312333
1,42,4,10,120,0.16666666666666666,1.976579,0.5059246303841132
1,42,4,10,300,0.16666666666666666,1.595198,0.6268814278854412
1,42,4,10,500,0.16666666666666666,1.102829,0.9067588900908481
1,42,4,10,1000,0.16666666666666666,1.685559,0.5932749906707507
1,42,4,15,20,0.16666666666666666,1.64007,0.6097300724969057
1,42,4,15,40,0.16666666666666666,0.918986,1.0881558587399591
1,42,4,15,80,0.16666666666666666,1.835853,0.5447059214436014
1,42,4,15,120,0.16666666666666666,0.919163,1.0879463163769647
1,42,4,15,300,0.16666666666666666,1.24203,0.805133531396182
1,42,4,15,500,0.16666666666666666,1.238827,0.8072152124550079
1,42,4,15,1000,0.16666666666666666,1.20226,0.8317668391196579
1,42,6,5,20,0.16666666666666666,1.400837,0.7138589286262427
1,42,6,5,40,0.16666666666666666,1.469078,0.6806990506971039
1,42,6,5,80,0.16666666666666666,1.252577,0.7983541131603087
1,42,6,5,120,0.16666666666666666,1.043019,0.9587553055121719
1,42,6,5,300,0.16666666666666666,1.334693,0.7492359666230363
1,42,6,5,500,0.16666666666666666,1.553065,0.6438880536229972
1,42,6,5,1000,0.16666666666666666,1.442195,0.6933875100107822
1,42,6,10,20,0.16666666666666666,1.806974,0.5534113938551413
1,42,6,10,40,0.16666666666666666,1.968217,0.5080740589071225
1,42,6,10,80,0.16666666666666666,1.756086,0.569448193311717
1,42,6,10,120,0.16666666666666666,1.338124,0.74731489757302
1,42,6,10,300,0.16666666666666666,1.725536,0.5795300706563062
1,42,6,10,500,0.16666666666666666,2.671066,0.37438236269714037
1,42,6,10,1000,0.16666666666666666,1.75094,0.5711217974345209
1,42,6,15,20,0.16666666666666666,1.37118,0.7292988520836068
1,42,6,15,40,0.16666666666666666,2.113443,0.4731615662215635
1,42,6,15,80,0.16666666666666666,1.407839,0.7103084940820648
1,42,6,15,120,0.16666666666666666,1.400878,0.7138380358603675
1,42,6,15,300,0.16666666666666666,1.574202,0.6352424911161337
1,42,6,15,500,0.16666666666666666,1.270636,0.7870074513865497
1,42,6,15,1000,0.16666666666666666,1.76853,0.5654413552498403
50,42,2,5,20,0.3055955821334837,1.906456,0.5245334799229565
50,42,2,5,40,0.3055955821334837,1.620594,0.6170576961287034
50,42,2,5,80,0.3055955821334837,1.597059,0.6261509437033947
50,42,2,5,120,0.3055955821334837,1.963307,0.5093446923991001
50,42,2,5,300,0.3055955821334837,2.358117,0.424067168847008
50,42,2,5,500,0.3055955821334837,2.469081,0.4050089891745147
50,42,2,5,1000,0.3055955821334837,1.833693,0.5453475581790409
50,42,2,10,20,0.3055955821334837,1.673957,0.5973869101775016
50,42,2,10,40,0.3055955821334837,1.383956,0.7225663243629132
50,42,2,10,80,0.3055955821334837,1.497497,0.6677809705127956
50,42,2,10,120,0.3055955821334837,1.31896,0.758173106083581
50,42,2,10,300,0.3055955821334837,2.042084,0.4896958205441108
50,42,2,10,500,0.3055955821334837,1.742109,0.5740168956133055
50,42,2,10,1000,0.3055955821334837,2.138492,0.4676192382295562
50,42,2,15,20,0.3055955821334837,1.691477,0.5911992891419747
50,42,2,15,40,0.3055955821334837,1.226627,0.8152437538061693
