N,seed,kproj,w,M,probes,recall,qps,time_per_query
1,42,12,80,2000,100,0.0,40.973251,0.02440616684285072
1,42,12,80,2000,250,0.0,33.264125,0.03006241709349036
1,42,12,80,2000,500,0.0,178.276953,0.00560925000776741
1,42,12,80,5000,100,0.08333333333333333,14.602182,0.06848291577245098
1,42,12,80,5000,250,0.08333333333333333,21.688132,0.046108166438677156
1,42,12,80,5000,500,0.08333333333333333,20.842597,0.04797866599829186
1,42,12,80,10000,100,0.08333333333333333,7.896238,0.1266425860010805
1,42,12,80,10000,250,0.08333333333333333,12.592331,0.07941341440278214
1,42,12,80,10000,500,0.08333333333333333,7.473632,0.13380375164311006
1,42,12,120,2000,100,0.0,64.537642,0.015494833232363834
1,42,12,120,2000,250,0.0,46.733886,0.021397749804071504
1,42,12,120,2000,500,0.0,36.79819,0.027175249652224745
1,42,12,120,5000,100,0.08333333333333333,10.093814,0.09907057926765839
1,42,12,120,5000,250,0.08333333333333333,35.866934,0.027880833081522942
1,42,12,120,5000,500,0.08333333333333333,41.688669,0.02398733334470333
1,42,12,120,10000,100,0.08333333333333333,11.16005,0.08960533330943858
1,42,12,120,10000,250,0.08333333333333333,9.710592,0.10298033322788147
1,42,12,120,10000,500,0.08333333333333333,11.135134,0.08980583439768214
1,42,12,300,2000,100,0.0,55.547326,0.018002666771034126
1,42,12,300,2000,250,0.0,60.572715,0.016509083338925784
1,42,12,300,2000,500,0.0,39.25584,0.025473916747164243
1,42,12,300,5000,100,0.08333333333333333,27.014128,0.0370176671999185
1,42,12,300,5000,250,0.08333333333333333,19.352654,0.05167249928614442
1,42,12,300,5000,500,0.08333333333333333,32.493731,0.030775167062225023
1,42,12,300,10000,100,0.08333333333333333,11.304044,0.08846391609940656
1,42,12,300,10000,250,0.08333333333333333,13.508433,0.07402783135542072
1,42,12,300,10000,500,0.08333333333333333,11.497667,0.08697416615040252
1,42,12,500,2000,100,0.0,48.770773,0.020504083459985348
1,42,12,500,2000,250,0.0,61.680485,0.01621258328302704
1,42,12,500,2000,500,0.0,42.336405,0.02362033337502322
1,42,12,500,5000,100,0.08333333333333333,10.292275,0.09716024882739725
1,42,12,500,5000,250,0.08333333333333333,16.761298,0.05966125057856498
1,42,12,500,5000,500,0.08333333333333333,14.46407,0.06913683354685092
1,42,12,500,10000,100,0.08333333333333333,8.377332,0.11936974683586614
1,42,12,500,10000,250,0.08333333333333333,9.632473,0.10381549992405897
1,42,12,500,10000,500,0.08333333333333333,10.243741,0.09762058607299813
1,42,12,1000,2000,100,0.0,110.397615,0.009058166700430983
1,42,12,1000,2000,250,0.0,35.140121,0.028457500189028945
1,42,12,1000,2000,500,0.0,95.398607,0.010482333353148438
1,42,12,1000,5000,100,0.08333333333333333,29.355715,0.03406491717200552
1,42,12,1000,5000,250,0.08333333333333333,18.413098,0.05430916622504262
1,42,12,1000,5000,500,0.08333333333333333,17.182327,0.0581993347001253
1,42,12,1000,10000,100,0.08333333333333333,9.971258,0.10028824848379211
1,42,12,1000,10000,250,0.08333333333333333,10.482235,0.0953995021099985
1,42,12,1000,10000,500,0.08333333333333333,10.57896,0.09452725031572101
1,42,14,20,2000,100,0.0,72.997585,0.013699083332688334
1,42,14,20,2000,250,0.0,39.364913,0.02540333316626408
