N,seed,kproj,w,M,probes,recall,qps,time_per_query
10,42,14,40,10000,500,0.18571428571428572,1.170719,0.8541759380346607
10,42,14,80,2000,100,0.09166666666666667,21.355543,0.04682625021522515
10,42,14,80,2000,250,0.09166666666666667,7.210637,0.13868400253680777
10,42,14,80,2000,500,0.09166666666666667,11.716885,0.08534691601052669
10,42,14,80,5000,100,0.1369047619047619,2.317762,0.43145068389247904
10,42,14,80,5000,250,0.1369047619047619,4.264686,0.23448385180057804
10,42,14,80,5000,500,0.1369047619047619,2.339552,0.4274322605353504
10,42,14,80,10000,100,0.18571428571428572,1.861087,0.5373203939418201
10,42,14,80,10000,250,0.18571428571428572,1.997741,0.500565388606431
10,42,14,80,10000,500,0.18571428571428572,1.719714,0.5814920387924969
10,42,14,120,2000,100,0.09166666666666667,10.462905,0.09557575071168094
10,42,14,120,2000,250,0.09166666666666667,43.237946,0.02312783313064871
10,42,14,120,2000,500,0.09166666666666667,51.641334,0.019364333229656694
10,42,14,120,5000,100,0.1369047619047619,8.724386,0.11462124669862153
10,42,14,120,5000,250,0.1369047619047619,3.464164,0.28866993594991464
10,42,14,120,5000,500,0.1369047619047619,4.312907,0.23186217555815603
10,42,14,120,10000,100,0.18571428571428572,3.000026,0.33333044446948124
10,42,14,120,10000,250,0.18571428571428572,2.398123,0.41699278977767196
10,42,14,120,10000,500,0.18571428571428572,2.953247,0.33861034989623284
10,42,14,300,2000,100,0.09166666666666667,9.495639,0.10531150141659766
10,42,14,300,2000,250,0.09166666666666667,4.868982,0.20538174098815729
10,42,14,300,2000,500,0.09166666666666667,11.322816,0.08831725252799304
10,42,14,300,5000,100,0.1369047619047619,5.136122,0.19469942497471826
10,42,14,300,5000,250,0.1369047619047619,3.484701,0.28696866675218335
10,42,14,300,5000,500,0.1369047619047619,5.73988,0.1742196700976327
10,42,14,300,10000,100,0.18571428571428572,1.735505,0.5762011633501488
10,42,14,300,10000,250,0.18571428571428572,2.036181,0.4911154754906366
10,42,14,300,10000,500,0.18571428571428572,3.895296,0.25671990010515244
10,42,14,500,2000,100,0.09166666666666667,86.640097,0.011542000004916892
10,42,14,500,2000,250,0.09166666666666667,52.204782,0.019155333317932444
10,42,14,500,2000,500,0.09166666666666667,11.981489,0.08346208054775162
10,42,14,500,5000,100,0.1369047619047619,6.961158,0.1436542598228628
10,42,14,500,5000,250,0.1369047619047619,6.224916,0.16064473801734833
10,42,14,500,5000,500,0.1369047619047619,4.610652,0.216889064713624
10,42,14,500,10000,100,0.18571428571428572,1.582244,0.6320137728441378
10,42,14,500,10000,250,0.18571428571428572,4.835206,0.20681642105837889
10,42,14,500,10000,500,0.18571428571428572,2.993028,0.3341098045190356
10,42,14,1000,2000,100,0.09166666666666667,24.068885,0.04154741692438183
10,42,14,1000,2000,250,0.09166666666666667,6.752213,0.14809959342218618
10,42,14,1000,2000,500,0.09166666666666667,4.13892,0.2416089221342766
10,42,14,1000,5000,100,0.1369047619047619,38.034986,0.026291583228136326
10,42,14,1000,5000,250,0.1369047619047619,5.540368,0.18049342570746205
10,42,14,1000,5000,500,0.1369047619047619,7.549876,0.13245250650474258
10,42,14,1000,10000,100,0.18571428571428572,1.785488,0.5600709721935964
10,42,14,1000,10000,250,0.18571428571428572,5.023981,0.19904533874630498
10,42,14,1000,10000,500,0.18571428571428572,9.118853,0.10966291484246977
10,42,16,20,2000,100,0.09166666666666667,70.612327,0.01416183324478175
10,42,16,20,2000,250,0.09166666666666667,20.875265,0.047903583499419054
10,42,16,20,2000,500,0.09166666666666667,3.023647,0.33072643731229207
10,42,16,20,5000,100,0.1369047619047619,12.013551,0.08323933531393007
10,42,16,20,5000,250,0.1369047619047619,3.031591,0.32985979968933804
10,42,16,20,5000,500,0.1369047619047619,5.67126,0.17632765910926318
10,42,16,20,10000,100,0.18571428571428572,2.906749,0.34402695244756254
10,42,16,20,10000,250,0.18571428571428572,2.452048,0.4078223591055314
10,42,16,20,10000,500,0.18571428571428572,1.879284,0.5321175511524602
10,42,16,40,2000,100,0.09166666666666667,4.215641,0.23721184987051794
10,42,16,40,2000,250,0.09166666666666667,7.177549,0.1393233261103477
10,42,16,40,2000,500,0.09166666666666667,29.560072,0.03382941692428895
10,42,16,40,5000,100,0.1369047619047619,14.284796,0.07000449988925288
10,42,16,40,5000,250,0.1369047619047619,3.281043,0.30478113209732394
10,42,16,40,5000,500,0.1369047619047619,6.227025,0.16059033005327583
10,42,16,40,10000,100,0.18571428571428572,2.091446,0.4781380920186321
10,42,16,40,10000,250,0.18571428571428572,3.764026,0.2656729788795295
10,42,16,40,10000,500,0.18571428571428572,1.649162,0.606368567793825
10,42,16,80,2000,100,0.09166666666666667,7.53212,0.13276474618035825
10,42,16,80,2000,250,0.09166666666666667,10.097959,0.09902991287645356
10,42,16,80,2000,500,0.09166666666666667,18.225476,0.05486825145197854
10,42,16,80,5000,100,0.1369047619047619,4.888997,0.20454093140167606
10,42,16,80,5000,250,0.1369047619047619,3.841571,0.2603101699799379
10,42,16,80,5000,500,0.1369047619047619,10.346995,0.09664641763139926
10,42,16,80,10000,100,0.18571428571428572,3.762409,0.2657871592376055
10,42,16,80,10000,250,0.18571428571428572,2.684456,0.3725149527502034
10,42,16,80,10000,500,0.18571428571428572,1.806485,0.5535611975742949
10,42,16,120,2000,100,0.09166666666666667,7.413457,0.13488983614526934
10,42,16,120,2000,250,0.09166666666666667,5.262057,0.19003975061463604
10,42,16,120,2000,500,0.09166666666666667,5.939947,0.1683516704778679
10,42,16,120,5000,100,0.1369047619047619,4.382403,0.2281853129436065
10,42,16,120,5000,250,0.1369047619047619,4.675679,0.21387268031017528
10,42,16,120,5000,500,0.1369047619047619,4.200723,0.23805425875498099
10,42,16,120,10000,100,0.18571428571428572,1.511982,0.6613835349891731
10,42,16,120,10000,250,0.18571428571428572,1.751323,0.5709968977738544
10,42,16,120,10000,500,0.18571428571428572,1.711368,0.5843278593499469
10,42,16,300,2000,100,0.09166666666666667,13.293144,0.07522674846522388
10,42,16,300,2000,250,0.09166666666666667,11.085051,0.09021158314923404
10,42,16,300,2000,500,0.09166666666666667,10.276612,0.0973083346924064
10,42,16,300,5000,100,0.1369047619047619,11.724257,0.08529325141883191
10,42,16,300,5000,250,0.1369047619047619,2.756107,0.3628306157924928
10,42,16,300,5000,500,0.1369047619047619,3.280088,0.3048698693449688
10,42,16,300,10000,100,0.18571428571428572,6.174729,0.1619504272981049
10,42,16,300,10000,250,0.18571428571428572,2.44955,0.4082382478414403
10,42,16,300,10000,500,0.18571428571428572,2.715121,0.36830771077974056
10,42,16,500,2000,100,0.09166666666666667,2.88751,0.34631914694667726
10,42,16,500,2000,250,0.09166666666666667,621.407488,0.0016092499998970082
10,42,16,500,2000,500,0.09166666666666667,3.343738,0.2990664938461087
10,42,16,500,5000,100,0.1369047619047619,3.534362,0.28293649603521087
10,42,16,500,5000,250,0.1369047619047619,10.376054,0.09637575132126336
10,42,16,500,5000,500,0.1369047619047619,2.991085,0.3343268412632874
10,42,16,500,10000,100,0.18571428571428572,2.178934,0.458940013786558
10,42,16,500,10000,250,0.18571428571428572,1.51458,0.6602490459401286
10,42,16,500,10000,500,0.18571428571428572,3.030924,0.32993239025458904
