N,seed,nlsh_T,nlsh_m,nlsh_layers,nlsh_nodes,nlsh_epochs,nlsh_batch_size,nlsh_lr,recall,qps,time_per_query
10,42,1500,2200,15,128,8,512,0.001,0.2380952380952381,25.36410967,0.03942578757979325
10,42,1500,2200,15,256,8,512,0.001,0.2380952380952381,23.75370609,0.04209869382954885
10,42,1500,2200,15,512,8,512,0.001,0.2380952380952381,19.74998647,0.050632946079177746
1,42,1000,1800,5,128,8,512,0.001,0.16666666666666666,24.50489749,0.04080816907755201
1,42,1000,1800,5,256,8,512,0.001,0.16666666666666666,19.15214354,0.05221347667489338
1,42,1000,1800,5,512,8,512,0.001,0.16666666666666666,31.17469428,0.03207729933189901
1,42,1000,1800,10,128,8,512,0.001,0.16666666666666666,23.50851993,0.04253776941201079
1,42,1000,1800,10,256,8,512,0.001,0.16666666666666666,25.3598606,0.039432393409922765
1,42,1000,1800,10,512,8,512,0.001,0.16666666666666666,25.46105207,0.03927567475415795
1,42,1000,1800,15,128,8,512,0.001,0.16666666666666666,34.6407956,0.028867697253466086
1,42,1000,1800,15,256,8,512,0.001,0.16666666666666666,24.86369139,0.04021928941742709
1,42,1000,1800,15,512,8,512,0.001,0.16666666666666666,25.47140308,0.039259713996092904
1,42,1000,2000,5,128,8,512,0.001,0.16666666666666666,28.79877101,0.03472370399600604
1,42,1000,2000,5,256,8,512,0.001,0.16666666666666666,34.86941758,0.02867842566356969
1,42,1000,2000,5,512,8,512,0.001,0.16666666666666666,34.88096057,0.028668935248878098
1,42,1000,2000,10,128,8,512,0.001,0.16666666666666666,34.68349784,0.028832155413307643
1,42,1000,2000,10,256,8,512,0.001,0.16666666666666666,30.88884815,0.03237414341719311
1,42,1000,2000,10,512,8,512,0.001,0.16666666666666666,19.47932596,0.051336478585216914
1,42,1000,2000,15,128,8,512,0.001,0.16666666666666666,23.76187616,0.04208421899291642
1,42,1000,2000,15,256,8,512,0.001,0.16666666666666666,22.46343635,0.044516786497805806
1,42,1000,2000,15,512,8,512,0.001,0.16666666666666666,22.7859105,0.04388676941393235
1,42,1000,2200,5,128,8,512,0.001,0.16666666666666666,30.62939697,0.032648373749553455
1,42,1000,2200,5,256,8,512,0.001,0.16666666666666666,23.25386486,0.04300360417592966
1,42,1000,2200,5,512,8,512,0.001,0.16666666666666666,38.52603772,0.025956471497739064
1,42,1000,2200,10,128,8,512,0.001,0.16666666666666666,28.23867538,0.035412425920949835
1,42,1000,2200,10,256,8,512,0.001,0.16666666666666666,26.48312472,0.037759894671522735
1,42,1000,2200,10,512,8,512,0.001,0.16666666666666666,43.10185781,0.023200856083934077
1,42,1000,2200,15,128,8,512,0.001,0.16666666666666666,53.84610815,0.01857144433195215
1,42,1000,2200,15,256,8,512,0.001,0.16666666666666666,19.96261485,0.050093637908362486
1,42,1000,2200,15,512,8,512,0.001,0.16666666666666666,46.21715014,0.021636989666624216
1,42,1500,1800,5,128,8,512,0.001,0.16666666666666666,21.55913641,0.046384047161377
1,42,1500,1800,5,256,8,512,0.001,0.16666666666666666,26.39774556,0.03788202283134666
1,42,1500,1800,5,512,8,512,0.001,0.16666666666666666,28.42763914,0.03517703299507973
1,42,1500,1800,10,128,8,512,0.001,0.16666666666666666,30.41496667,0.03287854992083081
1,42,1500,1800,10,256,8,512,0.001,0.16666666666666666,17.65732859,0.056633708485571095
1,42,1500,1800,10,512,8,512,0.001,0.16666666666666666,27.99312076,0.03572306241142369
1,42,1500,1800,15,128,8,512,0.001,0.16666666666666666,28.51806123,0.03506549733289846
1,42,1500,1800,15,256,8,512,0.001,0.16666666666666666,22.46695901,0.04450980658107321
1,42,1500,1800,15,512,8,512,0.001,0.16666666666666666,33.42017063,0.029922049503312186
1,42,1500,2000,5,128,8,512,0.001,0.16666666666666666,29.16720151,0.034285085583447186
1,42,1500,2000,5,256,8,512,0.001,0.16666666666666666,26.09776917,0.038317451330266324
1,42,1500,2000,5,512,8,512,0.001,0.16666666666666666,25.5230173,0.03918032058067053
1,42,1500,2000,10,128,8,512,0.001,0.16666666666666666,27.52711428,0.036327818086131766
1,42,1500,2000,10,256,8,512,0.001,0.16666666666666666,26.21416331,0.03814731708864142
1,42,1500,2000,10,512,8,512,0.001,0.16666666666666666,23.324586,0.04287321541312673
1,42,1500,2000,15,128,8,512,0.001,0.16666666666666666,23.20600644,0.04309229175582354
1,42,1500,2000,15,256,8,512,0.001,0.16666666666666666,25.25675852,0.03959336267194116
1,42,1500,2000,15,512,8,512,0.001,0.16666666666666666,24.37138288,0.041031729915524597
1,42,1500,2200,5,128,8,512,0.001,0.16666666666666666,29.84865991,0.033502341579662566
1,42,1500,2200,5,256,8,512,0.001,0.16666666666666666,26.30907264,0.038009701584069217
1,42,1500,2200,5,512,8,512,0.001,0.16666666666666666,25.89785232,0.03861324049746531
1,42,1500,2200,10,128,8,512,0.001,0.16666666666666666,26.24659539,0.038100179666769346
